Key,Id,Shared Comments,English(en),English(en) Comments,Korean(ko),Korean(ko) Comments
language,,,Language,,언어,
settings,,,Settings,,설정,
record,,,Record,,기록,
achievement,,,Achievement,,업적,
quit,,,Quit Game,,게임 종료,
start_game,,,Start Game,,게임 시작,
progress,,,Current Chapter : ,,진행중인 챕터 : ,
continue,,,Continue,,이어하기,
new_game,,,New Game,,새 게임,
proceed,,,Play,,진행,
cancel,,,Cancel,,취소,
warning_txt,,,The current recording will be lost. Do you want to continue?,,진행중인 기록이 사라집니다. 계속할까요?,
ant_date,,,Ant Date,,개미력,
back,,,Back,,돌아가기,
skip,,,Skip,,스킵하기,
skip_story,,,Skip Story,,스토리 스킵하기,
choice_A,,,Choice A,,선택지 A,
choice_B,,,Choice B,,선택지 B,
summary,,,Story Summary,,스토리 요약,
dialogue_log,,,Dialougue Log,,대사 기록,
